Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-00129,1/2/16,3:52 AM,January,Saturday,ALCOHOL RELATED,1800 N WALNUT ST; MOTEL 6; RM 230,LB212,BPD,No Report
B16-03898,1/30/16,12:47 AM,January,Saturday,ALCOHOL RELATED,N COLLEGE AVE & W 17TH ST,LB519,BPD,No Report
B16-04227,2/1/16,11:51 AM,February,Monday,ALCOHOL RELATED,E MILLER DR & S HENDERSON ST,LB316,BPD,No Report
B16-04374,2/2/16,2:51 PM,February,Tuesday,ALCOHOL RELATED,910 S PERSIMMON TREE CIR,,BPD,No Report
B16-07288,2/26/16,1:31 AM,February,Friday,ALCOHOL RELATED,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,No Report
B16-08481,3/5/16,2:18 PM,March,Saturday,ALCOHOL RELATED,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,No Report
B16-09366,3/11/16,12:21 PM,March,Friday,ALCOHOL RELATED,100 W KIRKWOOD AVE; MONROE COUNTY COURTHOUSE,LMNC,BPD,No Report
B16-00041,1/1/16,7:12 AM,January,Friday,DISTURBANCE IP,2036 N WALNUT ST; APT 36D,LB212,BPD,No Report
B16-00056,1/1/16,12:19 PM,January,Friday,DISTURBANCE IP,3214 S MARKET PL; APT D10,LB428,BPD,Report
B16-00067,1/1/16,2:32 PM,January,Friday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B16-00084,1/1/16,5:58 PM,January,Friday,DISTURBANCE IP,620 W 15TH ST,LB518,BPD,No Report
B16-00112,1/1/16,11:23 PM,January,Friday,DISTURBANCE IP,2400 S WINSLOW CT,LB326,BPD,No Report
B16-00136,1/2/16,5:50 AM,January,Saturday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,No Report
B16-00143,1/2/16,8:59 AM,January,Saturday,DISTURBANCE IP,221 E 6TH ST; FIRST PRESBYTERIAN CHURCH,LB102,BPD,Report
B16-00150,1/2/16,11:18 AM,January,Saturday,DISTURBANCE IP,3250 W JACOB DR,LB524,BPD,No Report
B16-00158,1/2/16,12:36 PM,January,Saturday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,No Report
B16-00167,1/2/16,1:30 PM,January,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-00174,1/2/16,2:18 PM,January,Saturday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,No Report
B16-00178,1/2/16,2:33 PM,January,Saturday,DISTURBANCE IP,1002 N LINDBERGH DR,LB517,BPD,No Report
B16-00183,1/2/16,3:04 PM,January,Saturday,DISTURBANCE IP,1049 S BASSWOOD CIR,LB415,BPD,No Report
B16-00264,1/3/16,6:10 AM,January,Sunday,DISTURBANCE IP,1111 N ILLINOIS ST,LB517,BPD,No Report
B16-00266,1/3/16,7:03 AM,January,Sunday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,No Report
