Year+month,Users,Sessions,Pageviews,Pageviews per session,Average session duration (seconds)
201510,1515,2160,21222,9.825,306.362962962963
201511,815,1358,13884,10.2238586156112,333.006627393225
201512,608,1005,9451,9.40398009950249,333.21592039801
201601,725,1300,11967,9.20538461538461,322.283846153846
201602,862,1434,13273,9.25592747559275,341.942817294282
201603,1038,2617,13450,5.13947267863966,1088.61597248758
201604,1662,3458,17204,4.97513013302487,919.393580104106
201605,1405,3034,13089,4.31410678971655,1060.97857613711
201606,1321,3184,12558,3.94409547738693,925.38756281407
201607,1414,3198,13824,4.32270168855535,966.720450281426
201608,1372,3221,12875,3.99720583669668,984.164545172307
201609,1503,3476,18847,5.42203682393556,1017.72842347526
201610,1631,3906,20001,5.12058371735791,1037.26574500768
201611,2081,4753,23434,4.93035977277509,1180.35872080791
201612,1219,3208,13453,4.19357855361596,2152.78117206983
201701,1534,3980,18634,4.68190954773869,1663.9216080402
201702,1660,4199,20799,4.95332221957609,1179.43010240533
201703,1899,4901,21336,4.35339726586411,1485.59212405632
201704,3035,6644,25969,3.90863937387116,1102.54996989765
201705,2116,5467,21403,3.91494421071886,1283.01536491677
201706,2050,4908,18042,3.6760391198044,1238.82008964955
201707,2040,4732,17934,3.78994082840237,1463.22464074387
201708,2532,5542,21070,3.8018765788524,1032.28635871527
201709,2736,5798,26756,4.61469472231804,921.783546050362
201710,2872,6223,27536,4.42487546199582,912.02876426161
201711,2931,6601,23834,3.61066505074989,805.843054082715
201712,2370,5076,18231,3.59160756501182,962.705082742317
201801,3371,6121,23709,3.87338670151936,885.939715732723
201802,4142,7547,30385,4.02610308731946,675.070359083079
201803,3662,6254,24063,3.84761752478414,703.965462104253
201804,3730,6937,26216,3.77915525443275,622.658497909759
201805,3787,6511,21698,3.33251420672708,663.984334203655
201806,3803,6724,23045,3.4272754312909,578.948988697204
201807,3890,6885,22545,3.27450980392157,578.819898329702
201808,4506,6886,23608,3.42840546035434,379.396456578565
201809,4084,7336,29626,4.03844056706652,359.349918211559
201810,3908,7125,31247,4.38554385964912,384.182175438597
201811,3837,6946,31084,4.4750935790383,409.424848833861
201812,2774,4380,24039,5.48835616438356,504.649771689498
201901,4727,6791,31201,4.59446326019732,306.297747018112
201902,4338,7457,40480,5.42845648384069,428.656027893255
201903,4287,7525,33648,4.4714950166113,444.631362126246
201904,4412,8047,37081,4.60805269044364,471.280725736299
201905,3410,6158,22820,3.70574861968171,365.06982786619
201906,3189,5149,22728,4.41406098271509,460.396970285492
201907,3219,5044,22424,4.4456780333069,443.54520222046
201908,3032,4439,20725,4.66884433430953,446.118495156567
201909,3637,5886,32421,5.50815494393476,535.146788990826
201910,4078,6450,35427,5.49255813953488,551.153953488372
201911,3821,6466,43311,6.69826786266625,631.528301886792
201912,2852,4800,24724,5.15083333333333,619.82875
202001,3532,5531,28792,5.20556861327066,513.075935635509
202002,4098,6319,32782,5.18784617819275,437.271087197341
202003,3453,5628,23322,4.14392324093817,555.345238095238
202004,1534,2364,11300,4.78003384094755,516.905668358714
